id,source_id,title,year,authors,venue,doi,keywords,cited_by_count,references_count,is_seed,openalex_url,scent_score,cluster,decision,note
src:45818a28b032ea98,W1948318187,Critical Pedagogy: Notes from the Real World,1996,Joan Wink,,,,,,,https://openalex.org/W1948318187,,,undecided,
doi:ecbecdfdf34f65e9,W2085277708,Outcomes of Collaborative Water Policy Making: Applying Complexity Thinking to Evaluation,2003,Judith E. Innes | Sarah Connick,,,,,,,https://openalex.org/W2085277708,,,undecided,
doi:a4cf132e23f1fbc5,W7894577,The relationship between critical pedagogy and assessment in teacher education,2003,Linda Keesing-Styles,,,,,,,https://openalex.org/W7894577,,,undecided,
doi:2368530d4f2c8d70,W1993843910,Consulting versus participatory transdisciplinarity: A refined classification of transdisciplinary research,2010,Malin Mobjörk,,,,,,,https://openalex.org/W1993843910,,,undecided,
doi:67db9d13246034d3,W2217850279,Complexity Thinking for Peacebuilding Practice and Evaluation,2016,Emery Brusset,,,,,,,https://openalex.org/W2217850279,,,undecided,
doi:eaf6f9a0b7c3d41e,W2004833213,Reflecting on a Critical Pedagogy in MBA Education,2003,David Knights | Graeme Currie,,,,,,,https://openalex.org/W2004833213,,,undecided,
src:b6512f4765e90d97,W2467933174,"Sergio Tobón Tobón. Formación integral y competencias. Pensamiento complejo, currículo, didáctica y evaluación, 3a ed., Centro de Investigación en Formación y Evaluación CIFE, Bogotá, Colombia, Ecoe Ediciones, 2010.",2010,Enrique Medina Vidaña,,,,,,,https://openalex.org/W2467933174,,,undecided,
doi:7108f254e58d2553,W2143630684,"Multidisciplinarity, interdisciplinarity, and transdisciplinarity in health research, services, education and policy: 2. Promotors, barriers, and strategies of enhancement",2007,Anita W. P. Pak | Bernard C. K. Choi,,,,,,,https://openalex.org/W2143630684,,,undecided,
doi:837355ad6e03853a,W2743693330,Critical Pedagogy and assessment in higher education: The ideal of ‘authenticity’ in learning,2017,David Whyte | Krystal Roberts | Maria Martinez Serrano | Mark O’Brien,,,,,,,https://openalex.org/W2743693330,,,undecided,
src:d009a5af5cf604e1,W1551583812,Learning Work: A Critical Pedagogy of Work Education,1991,Arleen Schenke | Don Dippo | Peter Seixas | Roger I. Simon,,,,,,,https://openalex.org/W1551583812,,,undecided,
doi:a5ec87cbfb29252f,W11956354,Managing Complex Organizations: Complexity Thinking and the Science and Art of Management,2008,Kurt A. Richardson,,,,,,,https://openalex.org/W11956354,,,undecided,
doi:4fb2c1aeaa80ef4f,W4323050332,Evaluating the Feasibility of ChatGPT in Healthcare: An Analysis of Multiple Clinical and Research Scenarios,2023,Elena Bignami | Jonathan Montomoli | Marco Cascella | Valentina Bellini,,,,,,,https://openalex.org/W4323050332,,,undecided,
doi:8104cf9385f67807,W1980820064,Validity of High‐Stakes Assessment: Are Students Engaged in Complex Thinking?,2004,Suzanne Lane,,,,,,,https://openalex.org/W1980820064,,,undecided,
doi:54e1ce7fd6d6d215,W2990872544,(Re)centring students in learning analytics: in conversation with Paulo Freire,2019,Christine Broughan | Paul Prinsloo,,,,,,,https://openalex.org/W2990872544,,,undecided,
doi:82b6ab1f1a103c68,W2048200934,Quality criteria and indicators for responsible research and innovation: learning from transdisciplinarity,2014,Anna L. Carew | Fern Wickson,,,,,,,https://openalex.org/W2048200934,,,undecided,
doi:94da8d6a041a5e4b,W25911570,"Inclusive Education and Critical Pedagogy at the Intersections of Disability, Race, Gender and Class.",2012,Anastasia Liasidou,,,,,,,https://openalex.org/W25911570,,,undecided,
doi:c20891bd3a8dd2af,W3126494171,A conceptual proposal and operational definitions of the cognitive processes of complex thinking,2021,Carolina Iturra Herrera | Cristián Silva Pacheco,,,,,,,https://openalex.org/W3126494171,,,accepted,
doi:c0a05a2936926801,W2280836712,Disentangling Transdisciplinarity,2007,Paul Burger | Wolgang Zierhofer,,,,,,,https://openalex.org/W2280836712,,,undecided,
doi:eed24b7b12f9690e,W2137427085,Making the case for democratic assessment practices within a critical pedagogy of physical education teacher education,2013,David Kirk | Eloísa Lorente Catalán,,,,,,,https://openalex.org/W2137427085,,,accepted,
doi:f4c75d7f10bafc95,W2058536064,Exploring the Possibilities for EFL Critical Pedagogy in Korea: A Two-Part Case Study,2005,Graham Crookes | Hyunjung Shin,,,,,,,https://openalex.org/W2058536064,,,undecided,
doi:d8d7c47eb749c254,W1932149208,Are Conservatives Really More Simple‐Minded than Liberals? The Domain Specificity of Complex Thinking,2015,Chris Anderson | Diana Sessoms | Jennifer A. Stockert | Kevin McCue | Laura Janelle Gornick | Lucian Gideon Conway | Shannon C. Houck,,,,,,,https://openalex.org/W1932149208,,,undecided,
doi:e5647e871750d919,W2065015434,Transdisciplinarity: The New Challenge for Biomedical Research,2001,J.F. Caron Flinterman | Jacqueline E. W. Broerse | Joske Bunders | Rebecca Teclemariam‐Mesbah,,,,,,,https://openalex.org/W2065015434,,,undecided,
doi:c4e837e8d3109d0a,W2074725207,Critical Pedagogy: An Evaluation and a Direction for Reformulation,1997,S. Miedema | W.L. Wardekker,,,,,,,https://openalex.org/W2074725207,,,undecided,
doi:5bd1a6687c293a29,W3123549056,Social and environmental reporting in the UK: a pedagogic evaluation,2003,Ian Thomson | Jan Bebbington,,,,,,,https://openalex.org/W3123549056,,,undecided,
doi:46f0b1198eb0cb95,W2004236870,Transdisciplinarity viewed from afar: science-policy assessments as forums for the creation of transdisciplinary knowledge,2006,Michael Pregernig,,,,,,,https://openalex.org/W2004236870,,,undecided,
doi:48a2a1b234fd10b9,W1506957001,Critical Pedagogy Is Too Big to Fail,2009,Ira Shor,,,,,,,https://openalex.org/W1506957001,,,accepted,
doi:75a46e623afac2c8,W1948179913,Complejidad y transdisciplinariedad en el campo de la salud colectiva: evaluación de conceptos y aplicaciones,2006,Naomar de Almeida Filho,,,,,,,https://openalex.org/W1948179913,,,undecided,
doi:308c96e6284063cf,W2004178974,Transdisciplinarity for social learning? The contribution of the German socio-ecological research initiative to sustainability governance,2007,Bernd Siebenhüner | Fred Luks,,,,,,,https://openalex.org/W2004178974,,,undecided,
doi:4ae2f80c0cb5ecec,W3167577419,Complex Thinking and Sustainable Social Development: Validity and Reliability of the COMPLEX-21 Scale,2021,Josemanuel Luna-Nemecio | Sergio Tobón,,,,,,,https://openalex.org/W3167577419,,,accepted,
doi:987aa410a56a7723,W2336811156,Stated preference methods and landscape ecology indicators: An example of transdisciplinarity in landscape economic valuation,2016,Alberto Longo | Carolina Tagliafierro | George Hutchinson | Marco Boeri,,,,,,,https://openalex.org/W2336811156,,,accepted,
doi:a5d6963a361b0e37,W2089603568,Transdisciplinarity in the class room? Simulating the co-production of sustainability knowledge,2014,Jörg Balsiger,,,,,,,https://openalex.org/W2089603568,,,undecided,
doi:466da5086a040e7a,W1562675196,A Unilateral Grading Contract to Improve Learning and Teaching,2009,Jane Danielewicz | Peter Elbow,,,,,,,https://openalex.org/W1562675196,,,undecided,
doi:5886cee791dd94a3,W1605255337,Designing and Developing Assessments of Complex Thinking in Mathematics for the Middle Grades,2015,Edith Aurora Graf | Meirav Arieli‐Attali,,,,,,,https://openalex.org/W1605255337,,,undecided,
doi:345013486c89d1f8,W3129309766,"Critical thinking, critical pedagogy and climate change education",2021,Gabriela Martínez Sainz | Rowan Oberman,,,,,,,https://openalex.org/W3129309766,,,undecided,
doi:7cb6e3b42aa78fcc,W2073331799,A Model for EFL Materials Development within the Framework of Critical Pedagogy (CP),2011,Faeze Safari | Nasser Rashidi,,,,,,,https://openalex.org/W2073331799,,,undecided,
doi:922325ccaafab773,W2156417821,Three Points Approach (3PA) for urban flood risk management: A tool to support climate change adaptation through transdisciplinarity and multifunctionality,2012,Chiara Farné Fratini | Govert D. Geldof | Jeroen Kluck | Peter Steen Mikkelsen,,,,,,,https://openalex.org/W2156417821,,,undecided,
doi:ae3fdbf73687ecc2,W27608418,Empowering education: critical teaching for social change,1993,,,,,,,,https://openalex.org/W27608418,,,undecided,
doi:5a9c7b91db61241a,W4243913760,Complejidad y transdisciplinariedad en el campo de la Salud Colectiva: evaluación de conceptos y aplicaciones,2006,Naomar de Almeida Filho,,,,,,,https://openalex.org/W4243913760,,,undecided,
