id,doi,title,year,abstract,authors_raw,authors_id,authors_affiliations,keywords_raw,keywords_id,references_doi,source,language,is_seed
W2119211517,10.1353/sof.2007.0054,Ecological Unequal Exchange: International Trade and Uneven Utilization of Environmental Space in the World System,2007,"We evaluate the argument that international trade influences disproportionate cross-national utilization of global renewable natural resources. Such uneven dynamics are relevant to the consideration of inequitable appropriation of environmental space in particular and processes of ecological unequal exchange more generally. Using OLS regression with slope dummy interaction terms, we analyze the effects of trade upon environmental consumption, as measured by per capita ecological footprint demand for 2002, delineated by country income level. Based on data for 137 countries, analyses reveal low- and lower middle-income countries characterized by a greater proportion of exports to the core industrialized countries exhibit lower environmental consumption. The results contradict neoclassical economic thought. We find trade shapes uneven utilization of global environmental space by constraining consumption in low and lower middle-income countries.",James Rice,A5048848430,New Mexico State University (US),Ecological footprint; Economics; Consumption (sociology); Per capita; Per capita income; Natural resource; Space (punctuation); Natural resource economics; Sustainability; Ecology; Population,ecological-footprint; economics; consumption; per-capita; per-capita-income; natural-resource; space; natural-resource-economics; sustainability; ecology; population,https://openalex.org/W29128684; https://openalex.org/W98053437; https://openalex.org/W100254650; https://openalex.org/W121690023; https://openalex.org/W204270373; https://openalex.org/W564808682; https://openalex.org/W571185114; https://openalex.org/W579563895; https://openalex.org/W623848121; https://openalex.org/W651598703; https://openalex.org/W1526407077; https://openalex.org/W1530782558; https://openalex.org/W1539308977; https://openalex.org/W1541584794; https://openalex.org/W1551322995; https://openalex.org/W1981094349; https://openalex.org/W1982053377; https://openalex.org/W1990164247; https://openalex.org/W1996199418; https://openalex.org/W2013402297; https://openalex.org/W2020935901; https://openalex.org/W2030978014; https://openalex.org/W2033186995; https://openalex.org/W2036713768; https://openalex.org/W2041137602; https://openalex.org/W2047856663; https://openalex.org/W2051025186; https://openalex.org/W2056286657; https://openalex.org/W2056926496; https://openalex.org/W2085515592; https://openalex.org/W2100618934; https://openalex.org/W2101325537; https://openalex.org/W2105586900; https://openalex.org/W2116018954; https://openalex.org/W2122831705; https://openalex.org/W2126212614; https://openalex.org/W2133022495; https://openalex.org/W2141833713; https://openalex.org/W2143917121; https://openalex.org/W2163307695; https://openalex.org/W2170219305; https://openalex.org/W2174103482; https://openalex.org/W2181493251; https://openalex.org/W2187729256; https://openalex.org/W2274106087; https://openalex.org/W2279795386; https://openalex.org/W2280747592; https://openalex.org/W2297931742; https://openalex.org/W2528256758; https://openalex.org/W2797816625; https://openalex.org/W2806988935; https://openalex.org/W2918033867; https://openalex.org/W3010621220; https://openalex.org/W3146010958; https://openalex.org/W3159280209; https://openalex.org/W3211630684,Social Forces,en,False
W2142043891,10.1177/0020715207072159,"Ecological Unequal Exchange: Consumption, Equity, and Unsustainable Structural Relationships within the Global Economy",2007,"We discuss and elaborate upon the theory of cross-national ecological unequal exchange. Drawing upon world-systems theoretical propositions, ecological unequal exchange refers to the increasingly disproportionate utilization of ecological systems and externalization of negative environmental costs by core industrialized countries and, consequentially, declining utilization opportunities and imposition of exogenous environmental burdens within the periphery. We provide a descriptive overview of theoretical and empirical efforts to date examining this issue. Ecological unequal exchange provides a framework for conceptualizing how the socioeconomic metabolism or material throughput of core countries may negatively impact more marginalized countries in the global economy. It focuses attention upon the global uneven fl ow of energy, natural resources, and waste products of industrial activity. Further, the recognition of the distributional processes of ecological unequal exchange is relevant to considerations of both the socioeconomic and environmental imperatives underlying the pursuit of sustainable development, as it contributes to underdevelopment within the periphery of the world-system. We conclude by highlighting the interconnections between uneven natural resource fl ows, global environmental change, and the challenge of broad-based sustainable development.",James Rice,A5048848430,New Mexico State University (US),Ecological economics; Equity (law); Underdevelopment; Sustainable development; Natural resource; Sustainability; Economics; Environmental degradation; Consumption (sociology); Economic system; Ecology; Development economics; Natural resource economics; Economic growth; Political science; Sociology; Biology; Social science,ecological-economics; equity; underdevelopment; sustainable-development; natural-resource; sustainability; economics; environmental-degradation; consumption; economic-system; ecology; development-economics; natural-resource-economics; economic-growth; political-science; sociology; biology; social-science,https://openalex.org/W29128684; https://openalex.org/W174463555; https://openalex.org/W246163104; https://openalex.org/W595015540; https://openalex.org/W651598703; https://openalex.org/W1518714090; https://openalex.org/W1530782558; https://openalex.org/W1536788759; https://openalex.org/W1539308977; https://openalex.org/W1541584794; https://openalex.org/W1551322995; https://openalex.org/W1558000859; https://openalex.org/W1596919638; https://openalex.org/W1687549561; https://openalex.org/W1984695483; https://openalex.org/W1990164247; https://openalex.org/W1992984263; https://openalex.org/W1995485900; https://openalex.org/W1996199418; https://openalex.org/W2013402297; https://openalex.org/W2014480644; https://openalex.org/W2020935901; https://openalex.org/W2023864710; https://openalex.org/W2026865785; https://openalex.org/W2030978014; https://openalex.org/W2036713768; https://openalex.org/W2040057718; https://openalex.org/W2041137602; https://openalex.org/W2042226937; https://openalex.org/W2051025186; https://openalex.org/W2051998369; https://openalex.org/W2056926496; https://openalex.org/W2066932297; https://openalex.org/W2074809583; https://openalex.org/W2075693476; https://openalex.org/W2100618934; https://openalex.org/W2101108903; https://openalex.org/W2113337769; https://openalex.org/W2116018954; https://openalex.org/W2122512506; https://openalex.org/W2122831705; https://openalex.org/W2126212614; https://openalex.org/W2127329485; https://openalex.org/W2141833713; https://openalex.org/W2143917121; https://openalex.org/W2160934709; https://openalex.org/W2163307695; https://openalex.org/W2166671387; https://openalex.org/W2169776575; https://openalex.org/W2174103482; https://openalex.org/W2174143613; https://openalex.org/W2181493251; https://openalex.org/W2182089091; https://openalex.org/W2187729256; https://openalex.org/W2274106087; https://openalex.org/W2279795386; https://openalex.org/W2288595092; https://openalex.org/W2337659769; https://openalex.org/W2528256758; https://openalex.org/W2617515511; https://openalex.org/W2918033867; https://openalex.org/W3159280209; https://openalex.org/W4213234829; https://openalex.org/W4220804448; https://openalex.org/W4241852105; https://openalex.org/W4255286740; https://openalex.org/W4285719527,International Journal of Comparative Sociology,en,False
W1973954730,10.1177/0020715209105147,"Ecologically Unequal Exchange, Ecological Debt, and Climate Justice",2009,"Building on structuralist perspectives of the world economy, a small but growing group of researchers have forged a new literature on `ecologically unequal exchange' and documented that energy and materials disproportionately flow from the Global South to the Global North. These findings have begun to influence efforts to negotiate a `post-Kyoto' global climate regime. Since the extraction of resources and energy is one of the most damaging stages of the chain of commodity production, a logical next step is the mounting cry from developing countries that they are owed an `ecological debt' by the North. The G-77 and China have seized on these ideas and a movement for `climate justice' is now gaining strength in and exerting influence in international negotiations, including the UNFCCC meetings in Delhi, Bali, and Poznań. This article reviews the history of these related three ideas and examines their potential to reshape the discussion of `burden sharing' in the post-Kyoto world where development is constrained by climate change.",J. Timmons Roberts; Bradley C. Parks,A5082988195; A5047978847,William & Mary (US); Williams (United States) (US); Millennium Challenge Corporation (US),Negotiation; Kyoto Protocol; China; Economic Justice; Commodity; Climate change; Debt; Political science; Global warming; Economy; Development economics; International trade; Economics; Natural resource economics; Geography; Ecology; Market economy; Law,negotiation; kyoto-protocol; china; economic-justice; commodity; climate-change; debt; political-science; global-warming; economy; development-economics; international-trade; economics; natural-resource-economics; geography; ecology; market-economy; law,https://openalex.org/W18714912; https://openalex.org/W53023682; https://openalex.org/W181224196; https://openalex.org/W228880448; https://openalex.org/W363696262; https://openalex.org/W573167388; https://openalex.org/W613588134; https://openalex.org/W614211536; https://openalex.org/W651598703; https://openalex.org/W826469042; https://openalex.org/W1529106462; https://openalex.org/W1552736777; https://openalex.org/W1563281257; https://openalex.org/W1564726429; https://openalex.org/W1593994209; https://openalex.org/W1823886455; https://openalex.org/W1870280941; https://openalex.org/W1970732996; https://openalex.org/W1983474380; https://openalex.org/W1998804088; https://openalex.org/W2005340918; https://openalex.org/W2008178580; https://openalex.org/W2013402297; https://openalex.org/W2014105429; https://openalex.org/W2017032566; https://openalex.org/W2020935901; https://openalex.org/W2026255285; https://openalex.org/W2027255868; https://openalex.org/W2030978014; https://openalex.org/W2036713768; https://openalex.org/W2037466272; https://openalex.org/W2038981142; https://openalex.org/W2041202945; https://openalex.org/W2056926496; https://openalex.org/W2068157259; https://openalex.org/W2077858203; https://openalex.org/W2083170299; https://openalex.org/W2084528250; https://openalex.org/W2089327955; https://openalex.org/W2095092650; https://openalex.org/W2101108903; https://openalex.org/W2110438916; https://openalex.org/W2119211517; https://openalex.org/W2126212614; https://openalex.org/W2142043891; https://openalex.org/W2164304100; https://openalex.org/W2169776575; https://openalex.org/W2174103482; https://openalex.org/W2182089091; https://openalex.org/W2215129138; https://openalex.org/W2285306684; https://openalex.org/W2321434398; https://openalex.org/W2341034567; https://openalex.org/W2499185134; https://openalex.org/W2501585505; https://openalex.org/W2528256758; https://openalex.org/W2586432828; https://openalex.org/W3121380395; https://openalex.org/W3123592998; https://openalex.org/W3125260465; https://openalex.org/W3159280209; https://openalex.org/W3173126365; https://openalex.org/W3213090436; https://openalex.org/W4236004568; https://openalex.org/W4237128792; https://openalex.org/W4247796865; https://openalex.org/W4250217784; https://openalex.org/W4299448508; https://openalex.org/W4401185539; https://openalex.org/W6600476237,International Journal of Comparative Sociology,en,False
W1862702728,10.2458/v23i1.20220,Ecologically unequal exchange and ecological debt,2016,"This article introduces a Special Section on Ecologically Unequal Exchange (EUE), an underlying source of most of the environmental distribution conflicts in our time. The nine articles discuss theories, methodologies, and empirical case studies pertaining to ecologically unequal exchange, and address its relationship to ecological debt. This is the introductory article in Alf Hornborg and Joan Martinez-Alier (eds.) 2016. ""Ecologically unequal exchange and ecological debt"", Special Section of the Journal of Political Ecology 23: 328-491.",Alf Hornborg; Joan Martínez Alier,A5082311142; A5004042357,Lund University (SE); Universitat Autònoma de Barcelona (ES),Ecology; Debt; Section (typography); Political ecology; Politics; Distribution (mathematics); Geography; Economics; Political science; Business; Biology; Law; Macroeconomics; Mathematics,ecology; debt; section; political-ecology; politics; distribution; geography; economics; political-science; business; biology; law; macroeconomics; mathematics,https://openalex.org/W779134457; https://openalex.org/W1505091764; https://openalex.org/W1509006868; https://openalex.org/W1584129281; https://openalex.org/W1591166682; https://openalex.org/W1738944162; https://openalex.org/W1956760944; https://openalex.org/W1967879531; https://openalex.org/W2048051304; https://openalex.org/W2056926496; https://openalex.org/W2076881948; https://openalex.org/W2146638929; https://openalex.org/W2562324168; https://openalex.org/W2592356138; https://openalex.org/W2594589186; https://openalex.org/W2601697486; https://openalex.org/W2617245318; https://openalex.org/W2618067250; https://openalex.org/W2618110297; https://openalex.org/W2620413123; https://openalex.org/W2620457709; https://openalex.org/W2760758743; https://openalex.org/W2772802389; https://openalex.org/W3122052499; https://openalex.org/W3159280209; https://openalex.org/W6630499190; https://openalex.org/W6735424081; https://openalex.org/W6850696550,Journal of Political Ecology,en,False
W1967360446,10.1016/j.ecolecon.2012.08.019,Classifying and valuing ecosystem services for urban planning,2012,,Erik Gómez‐Baggethun; David N. Barton,A5047258935; A5076044834,Universidad Autónoma de Madrid (ES); Universitat Autònoma de Barcelona (ES); Norwegian Institute for Nature Research (NO),Ecosystem services; Urban ecosystem; Ecosystem valuation; Valuation (finance); Environmental resource management; Ecosystem health; Natural capital; Environmental planning; Business; Urban planning; Urbanization; Ecosystem; Geography; Ecology; Economic growth; Economics,ecosystem-services; urban-ecosystem; ecosystem-valuation; valuation; environmental-resource-management; ecosystem-health; natural-capital; environmental-planning; business; urban-planning; urbanization; ecosystem; geography; ecology; economic-growth; economics,https://openalex.org/W23687525; https://openalex.org/W32759665; https://openalex.org/W49771169; https://openalex.org/W93598551; https://openalex.org/W115394847; https://openalex.org/W118586622; https://openalex.org/W121311783; https://openalex.org/W170055257; https://openalex.org/W223539122; https://openalex.org/W353006067; https://openalex.org/W625547448; https://openalex.org/W884602397; https://openalex.org/W1480313761; https://openalex.org/W1481664197; https://openalex.org/W1482252354; https://openalex.org/W1483294716; https://openalex.org/W1496684753; https://openalex.org/W1506420918; https://openalex.org/W1515352398; https://openalex.org/W1540810178; https://openalex.org/W1543060629; https://openalex.org/W1550973209; https://openalex.org/W1557892264; https://openalex.org/W1568997834; https://openalex.org/W1578130959; https://openalex.org/W1594976441; https://openalex.org/W1597336755; https://openalex.org/W1744548356; https://openalex.org/W1763861884; https://openalex.org/W1810922710; https://openalex.org/W1829464153; https://openalex.org/W1912501444; https://openalex.org/W1952596777; https://openalex.org/W1965948158; https://openalex.org/W1966742813; https://openalex.org/W1967904512; https://openalex.org/W1971306837; https://openalex.org/W1978430273; https://openalex.org/W1979586283; https://openalex.org/W1981426302; https://openalex.org/W1983070409; https://openalex.org/W1989733534; https://openalex.org/W1990661456; https://openalex.org/W1992564957; https://openalex.org/W1995622160; https://openalex.org/W1995810372; https://openalex.org/W1997976641; https://openalex.org/W1999392262; https://openalex.org/W2000114865; https://openalex.org/W2003605835; https://openalex.org/W2013272331; https://openalex.org/W2013942505; https://openalex.org/W2014151831; https://openalex.org/W2017832456; https://openalex.org/W2020156654; https://openalex.org/W2020199061; https://openalex.org/W2025361974; https://openalex.org/W2026865252; https://openalex.org/W2026866485; https://openalex.org/W2029393861; https://openalex.org/W2031382955; https://openalex.org/W2037025736; https://openalex.org/W2038540510; https://openalex.org/W2039362164; https://openalex.org/W2039767034; https://openalex.org/W2042359144; https://openalex.org/W2042505652; https://openalex.org/W2045791326; https://openalex.org/W2045952749; https://openalex.org/W2049377387; https://openalex.org/W2053571334; https://openalex.org/W2055036922; https://openalex.org/W2055891847; https://openalex.org/W2055971368; https://openalex.org/W2056196195; https://openalex.org/W2056636584; https://openalex.org/W2060788579; https://openalex.org/W2062505214; https://openalex.org/W2062896939; https://openalex.org/W2064215173; https://openalex.org/W2073209479; https://openalex.org/W2076086867; https://openalex.org/W2079194441; https://openalex.org/W2082317060; https://openalex.org/W2083521896; https://openalex.org/W2083549445; https://openalex.org/W2083551253; https://openalex.org/W2085741390; https://openalex.org/W2087087771; https://openalex.org/W2093054800; https://openalex.org/W2095822147; https://openalex.org/W2097908993; https://openalex.org/W2097935015; https://openalex.org/W2100306352; https://openalex.org/W2103948957; https://openalex.org/W2105273997; https://openalex.org/W2105785737; https://openalex.org/W2109192612; https://openalex.org/W2111915155; https://openalex.org/W2112061527; https://openalex.org/W2113659878; https://openalex.org/W2113908401; https://openalex.org/W2116298059; https://openalex.org/W2116335571; https://openalex.org/W2119119035; https://openalex.org/W2121055000; https://openalex.org/W2121623889; https://openalex.org/W2125084023; https://openalex.org/W2125263324; https://openalex.org/W2127476821; https://openalex.org/W2129974232; https://openalex.org/W2131236975; https://openalex.org/W2131487209; https://openalex.org/W2134172371; https://openalex.org/W2135766384; https://openalex.org/W2139355960; https://openalex.org/W2140967696; https://openalex.org/W2145357497; https://openalex.org/W2146205007; https://openalex.org/W2147106775; https://openalex.org/W2151215040; https://openalex.org/W2151303390; https://openalex.org/W2152470386; https://openalex.org/W2153779825; https://openalex.org/W2155048660; https://openalex.org/W2157015782; https://openalex.org/W2162927621; https://openalex.org/W2165049059; https://openalex.org/W2176202906; https://openalex.org/W2180198116; https://openalex.org/W2265414043; https://openalex.org/W2318160089; https://openalex.org/W2336638668; https://openalex.org/W2372261786; https://openalex.org/W2401731262; https://openalex.org/W2506396755; https://openalex.org/W2589919727; https://openalex.org/W2781684356; https://openalex.org/W2911125293; https://openalex.org/W2918256237; https://openalex.org/W2955563833; https://openalex.org/W2979050244; https://openalex.org/W2999405483; https://openalex.org/W3087415472; https://openalex.org/W3121703175; https://openalex.org/W3204017152; https://openalex.org/W4285719527; https://openalex.org/W6600930186; https://openalex.org/W6601964155; https://openalex.org/W6603685060; https://openalex.org/W6604809202; https://openalex.org/W6630770533; https://openalex.org/W6635343553; https://openalex.org/W6676985424; https://openalex.org/W6677958204; https://openalex.org/W6681996459; https://openalex.org/W6747770711; https://openalex.org/W6764925827; https://openalex.org/W6772569954,Ecological Economics,en,False
W2048051304,10.1016/j.gloenvcha.2014.10.014,Reversing the arrow of arrears: The concept of “ecological debt” and its value for environmental justice,2014,,Rikard Warlenius; Gregory Pierce; Vasna Ramasar,A5020507738; A5053292068; A5024246120,Lund University (SE); Lund University (SE); Lund University (SE),Debt; Ecological economics; Environmental justice; Value (mathematics); Environmental law; Ecology; Sociology; Political science; Economics; Law; Sustainability; Finance; Biology,debt; ecological-economics; environmental-justice; value; environmental-law; ecology; sociology; political-science; economics; law; sustainability; finance; biology,https://openalex.org/W147937154; https://openalex.org/W222966551; https://openalex.org/W401135514; https://openalex.org/W568129555; https://openalex.org/W591561411; https://openalex.org/W1503706120; https://openalex.org/W1557989049; https://openalex.org/W1566890474; https://openalex.org/W1591166682; https://openalex.org/W1595403411; https://openalex.org/W1907583418; https://openalex.org/W1963798495; https://openalex.org/W1973176252; https://openalex.org/W1996628034; https://openalex.org/W2002033694; https://openalex.org/W2012254774; https://openalex.org/W2013402297; https://openalex.org/W2021001691; https://openalex.org/W2030602370; https://openalex.org/W2056630963; https://openalex.org/W2056926496; https://openalex.org/W2085683054; https://openalex.org/W2089327955; https://openalex.org/W2091709473; https://openalex.org/W2128207432; https://openalex.org/W2137540105; https://openalex.org/W2138587975; https://openalex.org/W2148732650; https://openalex.org/W2159167826; https://openalex.org/W2164334321; https://openalex.org/W2319568853; https://openalex.org/W2578584143; https://openalex.org/W2592356138; https://openalex.org/W2611750131; https://openalex.org/W2758381682; https://openalex.org/W2772747987; https://openalex.org/W3048682234; https://openalex.org/W3121653486; https://openalex.org/W3159280209; https://openalex.org/W3164354311; https://openalex.org/W3196992440; https://openalex.org/W4391865359; https://openalex.org/W6734053437; https://openalex.org/W6795926756,Global Environmental Change,en,False
W644940498,,Ecological Debt: The Health of the Planet and the Wealth of Nations,2005,"1. A short walk to Venus 2. The chemist's warning - A short history of global warming 3. The Heaven bursters - Tuvalu and the fate of nations 4. The great reversal of human progress 5. Ecological debt 6. The carbon debt 7. Rationalising self-destruction (or why people are more stupid than frogs) 8. The car park at the end of the world 9. Pay back time - the law, climate change and ecological debt 10. Data for the doubtful - the lessons of war economies 11. The new adjustment 12. Minerva's Owl Notes Index",Andrew Simms,A5112290444,,Debt; Global warming; Venus; Geography; Planet; Natural resource economics; Climate change; Ecology; Economy; Development economics; Political science; Economics; Astrobiology; Finance; Biology,debt; global-warming; venus; geography; planet; natural-resource-economics; climate-change; ecology; economy; development-economics; political-science; economics; astrobiology; finance; biology,,Medical Entomology and Zoology,en,False
W1986875667,10.1007/s10668-009-9219-y,The concept of ecological debt: some steps towards an enriched sustainability paradigm,2009,,Gert Goeminne; Erik Paredis,A5007488495; A5041144613,Vrije Universiteit Brussel (BE); Ghent University Hospital (BE); Ghent University Hospital (BE),Sustainability; Debt; Environmental resource management; Conceptual framework; Ecology; Management science; Sociology; Computer science; Business; Economics; Social science; Biology; Finance,sustainability; debt; environmental-resource-management; conceptual-framework; ecology; management-science; sociology; computer-science; business; economics; social-science; biology; finance,https://openalex.org/W49479346; https://openalex.org/W401135514; https://openalex.org/W610363635; https://openalex.org/W644940498; https://openalex.org/W810233521; https://openalex.org/W1588713494; https://openalex.org/W1967820238; https://openalex.org/W1973176252; https://openalex.org/W1983188187; https://openalex.org/W2012254774; https://openalex.org/W2015442086; https://openalex.org/W2019674121; https://openalex.org/W2036713768; https://openalex.org/W2061355442; https://openalex.org/W2071810998; https://openalex.org/W2085683054; https://openalex.org/W2089327955; https://openalex.org/W2108291685; https://openalex.org/W2133644181; https://openalex.org/W2319568853; https://openalex.org/W2489573637; https://openalex.org/W2554800123; https://openalex.org/W2758381682; https://openalex.org/W2810203815; https://openalex.org/W2913390697; https://openalex.org/W2916743836; https://openalex.org/W2951306510; https://openalex.org/W3027532949; https://openalex.org/W3037339115; https://openalex.org/W3048682234; https://openalex.org/W3159280209; https://openalex.org/W4241852105; https://openalex.org/W4243660887; https://openalex.org/W4252474431; https://openalex.org/W4300304138; https://openalex.org/W6676229473; https://openalex.org/W6730305667; https://openalex.org/W6744584497; https://openalex.org/W6752696883; https://openalex.org/W6832168704,Environment Development and Sustainability,en,False
W1538980473,,Ecological Unequal Exchange,2001,"In these years many developing countries are engaged in establishing environmental regulation, but unfortunately, their environmental problems are rooted in fundamental issues that cannot easily be corrected by the instruments normally included in environmental regulation. This paper argues that it is necessary to change the power relations, so that developing countries get a chance to rectify their environmental problems. These issues are elucidated by applying the approach of ecological economics. First, the basic theoretical problem regarding economic value is outlined, and second, it is argued that unequal exchange in ecological terms might be at the root of environmental problems in developing countries. The concept of ecological footprints is used as an illustration. Finally, it is argued that the different movements in the South offer some hope for changes.",Inge Røpke,A5016814382,Sustainability Institute (ZA),Developing country; Ecological economics; Value (mathematics); Ecology; Ecological footprint; Root (linguistics); Economics; Sustainable development; Sustainability; Economic growth; Computer science; Biology,developing-country; ecological-economics; value; ecology; ecological-footprint; root; economics; sustainable-development; sustainability; economic-growth; computer-science; biology,,,en,False
W2951306510,10.4324/9781849771771-10,"Environmental Space, Equity and the Ecological Debt",2012,,Duncan McLaren,A5063262748,,Equity (law); Debt; Space (punctuation); Economics; Ecology; Geography; Business; Political science; Finance; Computer science; Biology,equity; debt; space; economics; ecology; geography; business; political-science; finance; computer-science; biology,,,en,False
